customer_state,total_orders,average_delivery_days,late_rate
AC,80,21.035712962962965,3.75
AL,397,24.543855361974067,23.929471032745592
AM,145,26.42599090038314,4.137931034482759
AP,67,27.185067716970703,4.477611940298507
BA,3256,19.335465824489262,14.035626535626536
CE,1279,21.26657863492891,15.32447224394058
DF,2080,12.96756810897436,7.0673076923076925
ES,1995,15.789307110368513,12.230576441102757
GO,1957,15.606338535456764,8.175779253960142
MA,717,21.572976474120562,19.665271966527197
MG,11354,12.008665646060452,5.61035758323058
MS,701,15.618319018465684,11.554921540656206
MT,886,18.05575601172561,6.772009029345373
PA,946,23.77291691136168,12.367864693446089
PB,517,20.426767609606706,11.02514506769826
PE,1593,18.448322994408407,10.797237915881984
PI,476,19.45709826291628,15.966386554621847
PR,4923,11.991582227413277,4.996953077391835
RJ,12350,15.30943754217274,13.473684210526315
RN,474,19.27815620604782,10.759493670886076
RO,243,19.37203651310776,2.880658436213992
RR,41,29.387546014001806,12.195121951219512
RS,5345,15.300276192406853,7.14686623012161
SC,3546,14.954782876767771,9.75747320924986
SE,335,21.519788280818133,15.223880597014924
SP,40501,8.761385996084925,5.893681637490433
TO,274,17.65806260982698,12.773722627737227
