total_price,total_freight,average_price,average_freight,item_count,customer_state,order_month,order_dayofweek,order_year,actual_delivery_days,predicted_delivery_days,prediction_error,risk_level
28.68,94.74,4.78,15.79,6,RJ,1,4,2018,7.981712962962963,22.9708657888587,14.989152825895736,High Risk
137.7,63.449999999999996,45.9,21.15,3,RN,12,1,2017,15.414733796296296,21.466532075806597,6.051798279510301,High Risk
146.99,33.48,146.99,33.48,1,PA,11,4,2017,24.11454861111111,23.584437757788194,0.5301108533229169,High Risk
121.97,21.25,121.97,21.25,1,RS,12,0,2017,9.804293981481482,22.356344413888788,12.552050432407306,High Risk
89.9,17.88,89.9,17.88,1,RJ,11,5,2017,17.067372685185184,21.374366872508695,4.306994187323511,High Risk
39.99,15.1,39.99,15.1,1,RS,2,6,2018,24.316979166666666,21.296363205823422,3.0206159608432444,High Risk
189.0,17.76,189.0,17.76,1,MS,11,2,2017,15.782534722222222,20.44137835152436,4.6588436293021385,High Risk
86.9,33.06,86.9,33.06,1,CE,1,2,2018,23.574467592592594,27.185344359839174,3.6108767672465802,High Risk
250.0,62.49,250.0,62.49,1,RS,2,4,2018,38.82273148148148,22.24991982484472,16.572811656636762,High Risk
13.65,17.63,13.65,17.63,1,CE,2,6,2018,31.05119212962963,26.347531557946677,4.703660571682953,High Risk
99.9,21.19,99.9,21.19,1,RJ,11,3,2017,12.812048611111111,21.621837125537365,8.809788514426254,High Risk
219.0,65.77,219.0,65.77,1,MA,3,5,2018,16.16337962962963,23.51563270495214,7.352253075322508,High Risk
339.96,108.24,84.99,27.06,4,MT,3,2,2017,26.95576388888889,21.098287955218407,5.857475933670482,High Risk
949.9,104.73,949.9,104.73,1,PE,1,0,2018,14.992835648148148,34.19603384645682,19.203198198308673,High Risk
359.0,29.36,359.0,29.36,1,PE,3,0,2018,8.336736111111112,21.741121453451274,13.404385342340163,High Risk
161.7,52.89,53.9,17.63,3,RS,2,3,2018,20.21474537037037,21.349821045357263,1.1350756749868935,High Risk
139.99,28.34,139.99,28.34,1,RJ,2,1,2018,80.51341435185185,24.87480215595761,55.63861219589424,High Risk
221.5,17.31,221.5,17.31,1,RJ,2,0,2018,31.691099537037037,26.55689439805668,5.134205138980356,High Risk
79.9,27.29,79.9,27.29,1,BA,3,2,2018,30.110127314814815,21.93652598417814,8.173601330636675,High Risk
412.91,40.44,412.91,40.44,1,CE,12,4,2017,21.056284722222223,24.688360312561258,3.632075590339035,High Risk
199.9,20.89,199.9,20.89,1,RJ,11,0,2017,11.668969907407407,21.119734477928723,9.450764570521317,High Risk
