total_price,total_freight,average_price,average_freight,item_count,customer_state,order_month,order_dayofweek,order_year,actual_delivery_days,predicted_delivery_days,prediction_error,risk_level,priority_score
199.95000000000002,124.2,39.99,24.84,5,AP,2,1,2017,15.645266203703704,73.95958065795011,58.31431445424641,High Risk,100.0
349.9,33.15,349.9,33.15,1,AP,2,3,2017,18.716238425925926,66.39563267980294,47.67939425387702,High Risk,89.77286254078551
39.9,17.78,39.9,17.78,1,BA,4,1,2017,28.217280092592592,48.87011424640869,20.652834153816098,High Risk,66.0767865524066
559.0,41.43,559.0,41.43,1,MG,12,1,2017,43.452581018518515,45.80043268908199,2.3478516705634718,High Risk,61.926301206196435
1699.99,98.02,1699.99,98.02,1,ES,11,4,2017,20.545034722222223,41.332435063693175,20.787400341470953,High Risk,55.88516686546443
129.0,38.95,129.0,38.95,1,PA,3,4,2018,13.705752314814815,40.3596819565806,26.653929641765785,High Risk,54.569917240657354
59.99,22.35,59.99,22.35,1,BA,4,6,2017,18.030358796296298,39.95777842300401,21.92741962670771,High Risk,54.02650754308846
169.99,96.84,169.99,96.84,1,PA,3,1,2018,29.9646875,39.781576989758996,9.816889489758996,High Risk,53.78826736963491
89.99,36.86,89.99,36.86,1,CE,4,0,2017,25.954108796296296,39.506097159490444,13.551988363194148,High Risk,53.4157938809836
179.94,70.48,179.94,70.48,1,PA,3,3,2018,32.46222222222222,39.370408924177944,6.908186701955721,High Risk,53.232331192167074
109.95,36.09,109.95,36.09,1,PA,3,6,2018,12.395949074074075,39.283335804176176,26.8873867301021,High Risk,53.11460050842447
31.9,34.15,31.9,34.15,1,PA,3,6,2018,57.39652777777778,38.8830083993156,18.513519378462178,High Risk,52.573321878530635
68.9,37.17,68.9,37.17,1,PA,3,2,2018,54.39473379629629,37.38448699841498,17.010246797881315,High Risk,50.54718626828291
149.9,25.18,149.9,25.18,1,PA,3,1,2018,14.507013888888888,36.615003934640335,22.107990045751446,High Risk,49.50677601050526
669.0,41.0,669.0,41.0,1,PI,1,5,2017,19.004467592592594,36.54604167164976,17.541574079057167,High Risk,49.4135328331142
1698.99,84.71,1698.99,84.71,1,PR,12,1,2017,22.929270833333334,35.41282924710513,12.483558413771796,High Risk,47.88132779021985
79.0,42.58,79.0,42.58,1,PA,2,4,2018,25.81125,35.25197761039569,9.44072761039569,High Risk,47.66384192121073
50.0,14.52,50.0,14.52,1,DF,3,1,2017,5.759108796296296,35.01512599872604,29.256017202429746,High Risk,47.34359725572913
609.0,101.19,609.0,101.19,1,PA,2,6,2018,26.722071759259258,34.96455663455284,8.242484875293584,High Risk,47.275222930559444
109.9,14.53,109.9,14.53,1,DF,2,4,2017,18.871979166666666,34.94764788006154,16.075668713394872,High Risk,47.25236077485104
